,block_id,target_gas_cost,real_gas,shown_optimal,no_model_found,source_gas_cost,saved_gas,solver_time_in_sec,target_disasm,init_progr_len,final_progr_len,number_of_necessary_uninterpreted_instructions,number_of_necessary_push,result_is_correct,inferred_size,initial_size_relation,final_size_relation
38,0xd3ebdaea9aeac98de723f640bce4aa07e2e44192_UnboundedRegularToken_block1909.2_input.json,760.0,760.0,True,False,766,6.0,1.588,PUSH1 32 ADD PUSH1 0 SHA3 SLOAD DUP3 PUSH1 0 DUP1 PUSH20 1461501637330902918203684832716283019655932542975 DUP8 AND DUP3 ,13,12.0,4,3,True,12,0.9230769230769232,1.0
39,0xd3ebdaea9aeac98de723f640bce4aa07e2e44192_RegularToken_block414_input.json,20.0,20.0,True,False,70,50.0,2.604,POP PUSH2 467 PUSH20 1461501637330902918203684832716283019655932542975 PUSH1 4 CALLDATALOAD AND PUSH2 1716 ,25,7.0,2,4,True,7,0.28,1.0
40,0xd3ebdaea9aeac98de723f640bce4aa07e2e44192_UnboundedRegularToken_block1501.4_input.json,751.0,751.0,True,False,766,15.0,2.048,PUSH1 32 ADD PUSH1 0 SHA3 SWAP1 DUP2 SLOAD SUB SWAP1 ,15,9.0,4,2,True,7,0.4666666666666667,0.7777777777777778
41,0xd3ebdaea9aeac98de723f640bce4aa07e2e44192_UnboundedRegularToken_block602_input.json,32.0,32.0,True,False,103,71.0,16.448,POP PUSH2 687 PUSH20 1461501637330902918203684832716283019655932542975 PUSH1 4 CALLDATALOAD AND PUSH20 1461501637330902918203684832716283019655932542975 PUSH1 36 CALLDATALOAD AND PUSH2 2318 ,34,11.0,4,5,True,11,0.3235294117647059,1.0
42,0xd1ceeeeee83f8bcf3bedad437202b6154e9f5405_Dice2Win_block824_input.json,26.0,26.0,True,False,97,71.0,6.636,POP PUSH2 887 PUSH1 4 CALLDATALOAD PUSH20 1461501637330902918203684832716283019655932542975 AND PUSH1 36 CALLDATALOAD PUSH2 5128 ,32,9.0,3,5,True,9,0.28125,1.0
43,0xd1ceeeeee83f8bcf3bedad437202b6154e9f5405_Dice2Win_block11657_input.json,35.0,35.0,True,False,37,2.0,46.028,SWAP11 PUSH1 2 ADD SWAP11 PUSH1 248 DUP13 CALLDATALOAD PUSH1 0 BYTE SWAP4 POP DUP4 ,13,12.0,3,3,True,9,0.6923076923076923,0.75
44,0xd1ceeeeee83f8bcf3bedad437202b6154e9f5405_Dice2Win_block901_input.json,20.0,20.0,True,False,100,80.0,5.1960000000000015,POP PUSH2 946 PUSH1 4 CALLDATALOAD PUSH1 36 CALLDATALOAD PUSH2 5783 ,32,7.0,2,4,True,7,0.21875,1.0
45,0xd1ceeeeee83f8bcf3bedad437202b6154e9f5405_Dice2Win_block8915.2_input.json,735.0,735.0,True,False,807,72.0,4.892,PUSH2 9150 PUSH20 1461501637330902918203684832716283019655932542975 PUSH13 79228162514264337593543950336 PUSH1 1 DUP8 ADD SLOAD DIV AND DUP5 DUP6 PUSH2 13812 ,15,12.0,4,5,True,12,0.8,1.0
46,0xd1ceeeeee83f8bcf3bedad437202b6154e9f5405_Dice2Win_block8473.2_input.json,758.0,758.0,True,False,764,6.0,39.316,PUSH1 32 ADD PUSH1 0 SHA3 DUP1 SWAP5 POP SLOAD SWAP3 POP PUSH1 0 DUP4 ,13,12.0,3,2,True,10,0.7692307692307693,0.8333333333333334
47,0xd1ceeeeee83f8bcf3bedad437202b6154e9f5405_Dice2Win_block12220_input.json,35.0,35.0,True,False,37,2.0,43.944,PUSH1 4 PUSH1 0 SWAP12 ADD SWAP11 DUP12 DUP7 ADD CALLDATALOAD DUP1 SWAP6 POP ,13,12.0,3,2,True,9,0.6923076923076923,0.75
